,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
71,278,28,604,1705,0.9581749049429658,15.54840087890625,743
72,256,39,774,1619,1.1642857142857144,2.92633056640625,967
73,256,22,768,1726,1.1408450704225352,32.5220947265625,922
74,273,26,1022,1840,1.4777777777777779,-13.3861083984375,1120
75,256,45,963,1743,1.1914191419141915,-12.31884765625,1060
76,256,39,923,1674,1.3051470588235294,-31.2958984375,1030
77,299,40,988,1750,1.1331058020477816,-37.252685546875,974
78,274,23,887,1819,1.0681003584229392,-58.307861328125,844
79,297,19,987,1799,1.1702127659574468,-20.8016357421875,969
80,255,21,852,1750,1.2454873646209386,34.034912109375,1010
81,260,27,748,1723,1.1553030303030303,-1.63201904296875,892
82,278,41,920,1809,1.3115942028985508,-4.421142578125,1032
83,272,33,744,1791,1.0801393728222997,-1.87518310546875,851
84,260,35,823,1723,1.1514084507042253,21.4561767578125,979
85,233,21,627,1578,1.0896057347670252,22.93975830078125,857
86,273,24,778,1718,1.179930795847751,76.454833984375,979
87,268,34,882,1799,1.12012987012987,24.59698486328125,984
88,268,19,590,1740,0.9664179104477612,-3.83428955078125,721
89,268,24,730,1702,1.0845070422535212,41.7369384765625,885
90,269,29,864,1737,1.1580756013745706,-3.050537109375,961
91,266,24,866,1730,1.2392857142857143,20.78515625,996
92,268,23,737,1785,1.1959183673469387,-36.2081298828125,838
93,287,19,654,1817,1.0073529411764706,3.18536376953125,752
94,277,21,696,1843,1.0110294117647058,-0.1719970703125,775
95,264,21,775,1791,0.9765100671140939,-1.21673583984375,809
96,248,22,727,1657,1.082437275985663,6.94097900390625,862
97,265,26,797,1701,1.2313167259786477,82.095703125,1027
98,262,20,744,1786,0.9719298245614035,4.50958251953125,797
99,269,27,968,1755,1.2026578073089702,46.2044677734375,1082
100,274,44,866,1791,1.187725631768953,-30.46484375,942
101,275,19,742,1759,1.1630434782608696,12.78961181640625,871
102,269,29,920,1790,1.0511945392491469,-39.908935546875,912
